station_id;id2;loc1;loc2;id3;since;unknown;lat;lon;state;state_name;loc_type1;loc_type2;neighboring;street;hnumber;zip_code;mindate
248;DEBW039;Villingen-Schwenningen;Villingen-Schwenningen;;1987-06-01;NA;8.4636;48.0487;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Unterer Dammweg;;78050;2016-01-01
251;DEBW042;Bernhausen;Bernhausen;;1989-12-01;NA;9.2278;48.6781;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Heubergstraße;;70794;2016-01-01
254;DEBW046;Biberach;Biberach;;1990-11-01;NA;9.8003;48.0899;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Hans-Liebherr-Straße;;88400;2016-01-01
260;DEBW052;Konstanz;Konstanz;;1990-09-01;NA;9.1693;47.6644;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;Zasius-/Wallgutstr.;;78462;2016-01-01
267;DEBW059;Tauberbischofsheim;Tauberbischofsheim;;1990-11-01;NA;9.6579;49.6348;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Kläranlage;;97941;2016-01-01
276;DEBW073;Neuenburg;Neuenburg;;1992-11-01;NA;7.5680;47.8190;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Freiburger Str.;25 a;79395;2016-01-01
279;DEBW076;Baden-Baden;Baden-Baden;;1993-04-22;NA;8.2202;48.7731;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Aumattstraße;;76530;2016-01-01
282;DEBW080;Karlsruhe Reinhold-Frank-Straße;Karlsruhe;;1994-03-15;NA;8.3872;49.0080;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Reinhold-Frank-Straße;27;76133;2016-01-01
283;DEBW081;Karlsruhe-Nordwest;Karlsruhe;;1985-03-01;NA;8.3556;49.0286;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;Daimlerstraße;17;76185;2016-01-01
286;DEBW084;Freiburg;Freiburg;;1979-06-01;NA;7.8321;48.0015;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Hintergrund;Fehrenbachallee;11;79106;2016-01-01
289;DEBW087;Schwäbische Alb;Erpfingen;Erpfingen;1994-04-27;NA;9.2076;48.3458;BW;Baden-Württemberg;ländlich regional;ländlich;Hintergrund;Sportplatz-Gelände;;72820;2016-01-01
299;DEBW098;Mannheim Friedrichsring;Mannheim;;1994-04-28;NA;8.4720;49.4926;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Friedrichsring;U2;68161;2016-01-01
300;DEBW099;Stuttgart Arnulf-Klett-Platz;Stuttgart;;1994-12-06;NA;9.1807;48.7831;BW;Baden-Württemberg;städtisches Gebiet;städtisch;Verkehr;Arnulf-Klett-Platz;;70173;2016-01-01
308;DEBW107;Tübingen;Tübingen;;2002-01-22;NA;9.0512;48.5077;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Derendinger Straße, FlSt.Nr. 1645;;72072;2016-01-01
313;DEBW112;Gärtringen;Gärtringen;;2005-12-21;NA;8.9044;48.6456;BW;Baden-Württemberg;vorstädtisches Gebiet;vorstädtisch;Hintergrund;Goethestraße;;71116;2016-01-01
